id,type,locality,activation_date,latitude,longitude,lease_type,gym,lift,swimming_pool,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,amenities,water_supply,building_type,balconies,rent,deposit
ff8081815917971401591af8895032d0,BHK2,Jayanagara,2018-07-05 17:09:49,12.93660072001916,77.57691394334313,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2,S,2.0,2,2.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":false,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":false,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":false,""GP"":false,""PARK"":false,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",CORP_BORE,IF,1.0,22000,220000.0
ff80818157dbe1fb0157dc4aa07513dc,BHK2,Basaveshwar Nagar,2017-12-30 17:22:12,12.997988733377364,77.54521885700842,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1218,20.0,3,W,2.0,0,1.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":false,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":true,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":true,""GP"":false,""PARK"":true,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",CORPORATION,IH,0.0,20000,200000.0
ff8081815d304406015d30edcd7c4f44,BHK3,"Jaya Nagar East,Jayanagar",2017-07-11 15:42:05,12.9356961,77.58764219999998,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1820,5.0,3,E,3.0,4,9.0,"{""LIFT"":true,""GYM"":false,""INTERNET"":true,""AC"":false,""CLUB"":true,""INTERCOM"":true,""POOL"":false,""CPA"":true,""FS"":true,""SERVANT"":false,""SECURITY"":true,""SC"":true,""GP"":true,""PARK"":true,""RWH"":true,""STP"":false,""HK"":false,""PB"":true,""VP"":false}",CORPORATION,AP,2.0,38000,250000.0
ff8081815b106986015b154d908f2ac2,BHK2,Murugeshpalya,2018-07-07 14:26:14,12.953506904661864,77.65611799999998,FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,1100,5.0,2,E,2.0,4,4.0,"{""LIFT"":true,""GYM"":false,""INTERNET"":true,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":true,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":false,""GP"":true,""PARK"":false,""RWH"":false,""STP"":false,""HK"":false,""PB"":true,""VP"":true}",BOREWELL,AP,1.0,30000,300000.0
ff8081815e80b789015e84a7a42a62a3,BHK2,Whitefield,2017-09-27 12:19:28,12.9685201,77.7424363,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1475,0.0,2,E,2.0,1,9.0,"{""LIFT"":true,""GYM"":true,""INTERNET"":true,""AC"":false,""CLUB"":true,""INTERCOM"":true,""POOL"":true,""CPA"":true,""FS"":true,""SERVANT"":true,""SECURITY"":true,""SC"":true,""GP"":false,""PARK"":true,""RWH"":true,""STP"":true,""HK"":true,""PB"":true,""VP"":true}",CORP_BORE,AP,2.0,26500,150000.0
ff80818162537f2d01625cfb76f37165,BHK2,HSR Layout,2018-03-25 18:15:19,12.921999290299711,77.64623779803514,FAMILY,0,0,0,1,FULLY_FURNISHED,NONE,1180,6.0,2,N,2.0,1,4.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":true,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":false,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":false,""GP"":false,""PARK"":false,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",CORP_BORE,AP,3.0,30000,175000.0
ff80818160792cc001608ec7b922154a,BHK3,Harlur,2018-07-26 21:01:47,12.9099582328536,77.67475474358599,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,2600,5.0,4,W,6.0,0,2.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":false,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":false,""FS"":false,""SERVANT"":false,""SECURITY"":true,""SC"":false,""GP"":false,""PARK"":false,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",BOREWELL,GC,2.0,35500,216000.0
ff8081815bb9ae79015bbd6aae9b03b1,BHK2,Vijaya Nagar,2018-05-19 13:12:15,12.964160226987786,77.51893522477826,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,900,15.0,2,W,2.0,0,3.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":true,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":false,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":true,""GP"":false,""PARK"":true,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",CORP_BORE,AP,1.0,15000,150000.0
ff808181622f11e901622f590ada0eb9,BHK1,Doddanekkundi,2018-03-20 17:58:57,12.970339617343488,77.68880126389308,FAMILY,0,0,0,0,SEMI_FURNISHED,NONE,400,5.0,1,E,1.0,1,3.0,"{""PARK"":false,""HK"":false,""LIFT"":false,""PB"":false,""INTERNET"":true,""GYM"":false,""FS"":false,""SECURITY"":true,""INTERCOM"":false,""POOL"":false,""AC"":false,""SC"":true}",CORPORATION,IH,1.0,11000,50000.0
ff8081815dad8e0f015db114d5f90716,BHK2,BTM 2nd Stage,2017-08-18 17:00:23,12.909463859178185,77.6093527752548,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,720,10.0,1,E,2.0,1,2.0,"{""LIFT"":false,""GYM"":false,""INTERNET"":true,""AC"":false,""CLUB"":false,""INTERCOM"":false,""POOL"":false,""CPA"":false,""FS"":false,""SERVANT"":false,""SECURITY"":false,""SC"":false,""GP"":false,""PARK"":false,""RWH"":false,""STP"":false,""HK"":false,""PB"":false,""VP"":false}",CORPORATION,IF,1.0,14000,60000.0
